×	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
2		53.1	36.9	28.1	22.6	18.9	16.3	14.3	12.7	11.4	10.4	9.5	8.8	8.2	7.6
3	126.9		67.4	53.1	43.6	36.9	31.9	28.1	25.1	22.6	20.6	18.9	17.5	16.3	15.2
4	143.1	112.6		73.7	61.9	53.1	46.4	41.1	36.9	33.4	30.5	28.1	26.0	24.2	22.6
5	151.9	126.9	106.3		77.3	67.4	59.5	53.1	47.9	43.6	40.0	36.9	34.2	31.9	29.9
6	157.4	136.4	118.1	102.7		79.6	71.1	64.0	58.1	53.1	48.9	45.2	42.1	39.3	36.9
7	161.1	143.1	126.9	112.6	100.4		81.2	73.7	67.4	61.9	57.2	53.1	49.6	46.4	43.6
8	163.7	148.1	133.6	120.5	108.9	98.8		82.4	75.7	70.0	64.9	60.5	56.6	53.1	50.0
9	165.7	151.9	138.9	126.9	116.0	106.3	97.6		83.3	77.3	72.1	67.4	63.2	59.5	56.1
10	167.3	154.9	143.1	132.1	121.9	112.6	104.3	96.7		84.0	78.6	73.7	69.4	65.5	61.9
11	168.6	157.4	146.6	136.4	126.9	118.1	110.0	102.7	96.0		84.5	79.6	75.1	71.1	67.4
12	169.6	159.4	149.5	140.0	131.1	122.8	115.1	107.9	101.4	95.5		85.0	80.5	76.3	72.5
13	170.5	161.1	151.9	143.1	134.8	126.9	119.5	112.6	106.3	100.4	95.0		85.4	81.2	77.3
14	171.2	162.5	154.0	145.8	137.9	130.4	123.4	116.8	110.6	104.9	99.5	94.6		85.8	81.8
15	171.8	163.7	155.8	148.1	140.7	133.6	126.9	120.5	114.5	108.9	103.7	98.8	94.2		86.1
16	172.4	164.8	157.4	150.1	143.1	136.4	130.0	123.9	118.1	112.6	107.5	102.7	98.2	93.9	
